444,402,Chinese Hall,S,1
419,404,  ,C,2
423,443,  ,C,3
454,441,  ,C,4
443,477,Gate No.1,C,5
463,476,  ,C,6
589,464,  ,R,7
670,432,  ,R,8
751,373,  ,R,9
750,356,  ,C,10
747,332,  ,C,11
779,334,  ,C,12
868,214,  ,C,13
825,203,Life Experience Hall,S,14
782,207,  ,C,15
779,287,  ,C,16
715,293,International Hall,S,17
665,236,  ,C,18
597,217,Guirui Theatre,S,19
651,224,  ,C,20
578,201,  ,C,21
408,235,  ,C,22
303,248,Yongning Pavilion,S,23
362,293,  ,R,24
367,366,  ,C,25
243,381,  ,C,26
258,460,  ,C,27
199,383,Gardening Town,S,28
210,464,Botanical Hall,S,29
171,470,  ,C,30
155,395,  ,C,31
267,502,Gate No.6,S,32
523,432,  ,C,33
584,414,  ,C,34
571,382,  ,R,35
544,358,  ,C,36
486,393,  ,C,37
575,320,  ,R,38
602,270,  ,R,39
659,394,  ,R,40
667,346,  ,R,41
400,484,  ,C,42
375,429,  ,R,43
696,264,  ,C,44
733,251,  ,C,45
780,248,  ,C,46
739,228,  ,R,47
731,213,  ,C,48
722,196,  ,R,49
791,184,  ,C,50
793,141,  ,R,51
807,128,  ,R,52
806,89,  ,C,53
845,78,  ,C,54
888,59,Gate No.5,S,55
883,132,  ,R,56
906,231,Gate No.4,S,58
820,284,  ,C,59
852,299,Kangyan Road,S,60
660,162,  ,C,61
577,187,  ,C,62
470,178,  ,C,63
480,170,  ,C,64
551,155,  ,R,65
579,140,  ,R,66
650,132,  ,C,67
644,104,  ,R,68
634,81,  ,R,69
680,61,  ,C,70
736,62,  ,R,71
790,59,  ,R,72
821,49,  ,R,73
815,367,Gate No.2,S,74
468,137,  ,R,75
469,121,  ,R,76
519,111,  ,R,77
559,66,  ,C,78
558,58,  ,R,79
628,69,Guirui Lake,S,80
383,387,  ,R,81
