1,2,412,852,320,643
2,3,320,643,307,648
3,4,307,648,312,687
4,5,312,687,298,714
5,6,298,714,385,712
6,7,385,712,446,710
7,8,446,710,476,712
8,9,476,712,512,705
9,10,512,705,634,681
10,11,634,681,743,665
11,13,743,665,780,635
13,14,780,635,811,611
14,15,811,611,849,577
15,16,849,577,881,535
10,12,634,681,766,654
12,17,766,654,804,633
17,18,804,633,839,602
18,19,839,602,861,579
19,16,861,579,881,535
30,31,824,433,802,414
31,32,802,414,768,388
32,33,768,388,728,377
33,28,728,377,704,381
16,20,881,535,957,406
20,21,957,406,980,316
21,22,980,316,970,287
22,23,970,287,956,253
23,24,956,253,942,243
24,25,942,243,929,248
25,26,929,248,832,318
26,27,832,318,730,372
27,28,730,372,704,381
28,34,704,381,628,402
34,35,628,402,405,415
35,36,405,415,585,432
36,37,585,432,573,452
37,38,573,452,546,473
38,39,564,479,564,512
39,45,564,512,579,554
28,40,704,381,628,408
40,41,628,408,611,416
41,42,611,416,591,439
42,43,591,439,574,471
43,44,574,471,568,513
44,45,568,513,579,554
45,46,579,554,590,583
46,47,590,583,585,619
47,48,585,619,596,666
48,10,596,666,634,681
45,1,579,554,412,852
16,29,881,535,854,513
29,30,854,513,824,433
