1,2,444,402,419,404
2,3,419,404,423,443
3,4,423,443,454,441
1,4,444,402,454,441
4,6,454,441,463,476
3,5,423,443,443,447
5,6,443,447,463,476
6,7,463,476,589,464
7,8,589,464,670,432
5,42,443,477,400,484
42,43,400,484,375,429
1,37,444,402,486,393
37,33,486,393,523,432
33,34,523,432,584,414
34,35,584,414,571,382
37,36,486,393,544,358
36,38,544,358,575,320
38,39,575,320,602,270
39,18,602,270,665,236
18,20,665,236,651,224
18,19,665,236,597,217
18,44,665,236,696,264
20,21,651,224,578,201
21,22,578,201,408,235
22,24,408,235,362,293
24,25,362,293,367,366
22,23,408,235,303,248
34,40,584,414,659,394
40,41,659,394,667,346
18,48,665,236,731,213
48,47,731,213,739,228
47,45,739,228,733,251
45,44,733,251,696,264
8,9,670,432,751,373
9,10,751,373,750,356
10,11,750,356,747,332
9,12,375,373,779,334
13,14,868,214,825,203
14,15,825,203,782,207
15,46,782,207,780,248
46,16,780,248,779,287
16,11,779,287,747,332
25,26,367,366,243,381
26,27,243,381,258,460
27,43,258,460,375,429
27,32,258,460,267,502
32,42,267,502,400,484
27,29,258,460,210,464
29,30,210,464,171,470
30,31,171,470,155,395
31,28,155,395,199,383
11,17,747,332,715,293
17,44,715,293,696,264
48,15,731,213,782,207
17,16,715,293,779,287
17,41,715,293,667,346
11,12,747,332,779,334
35,36,571,382,544,358
26,28,243,381,199,383
4,33,454,441,523,432
12,59,779,334,820,284
59,60,820,284,852,299
59,13,820,284,868,214
13,58,868,214,906,231
13,56,868,214,883,132
50,15,791,184,782,207
50,49,791,184,722,196
49,20,722,196,651,224
21,62,578,201,577,187
62,61,577,187,660,162
62,63,577,187,470,178
63,22,470,178,408,235
63,64,470,178,480,170
64,65,480,170,551,155
65,66,551,155,579,140
66,67,579,140,650,132
61,67,660,162,650,132
67,68,650,132,644,104
68,69,644,104,634,81
69,70,634,81,680,61
70,71,680,61,736,62
71,72,736,62,790,59
72,73,790,59,821,49
73,54,821,49,845,78
54,55,845,78,888,59
54,56,845,78,883,132
54,53,845,78,806,89
53,52,806,89,807,128
52,51,807,128,793,141
51,50,793,141,791,184
61,53,660,162,806,89
74,12,815,367,779,334
74,11,815,367,747,332
74,10,815,367,750,356
74,9,815,367,751,373
64,75,480,170,468,137
75,76,468,1373,469,121
76,77,469,121,519,111
77,78,519,111,559,66
78,79,559,66,558,58
79,80,558,58,628,69
25,81,367,366,383,387
81,43,383,387,375,429
